idno	author-short	title-short	identifier	author-name	wikidata-id	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount	targetcorpus
Chifflot_Raccourci	Chifflot	Raccourci	Chifflot_Raccourci	Chifflot, Dorothée	https://www.wikidata.org/wiki/Q19631465	no	1	F	FRA		Un raccourci saisissant	2000	2000		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2997-1					36878	fra	short	T0	unspecified	no
Irish_Manhattan	Irish	Manhattan	Irish_Manhattan	Irish, William		yes	1	M	USA		Manhattan Love Song		1986		1980s	Rivages		Rivages/Noir	policier	populaire	2-86930-037-9	Boulomgne, Sabine / Glasberg, Isabelle		1932		70003	fra	medium	T0	unspecified	no
Laurent_Affaire	Laurent	Affaire	Laurent_Affaire	Laurant, Pierre Jean	https://www.wikidata.org/wiki/Q3169471	no	1	M			L'affaire Lepetit		1967		1960s	Gallimard		Série noire	policier	populaire						53625	fra	medium	T0	unspecified	no
Quemeneur_Sante	Quemeneur	Sante	Quemeneur_Sante	Quémeneur, Jean Seignard		no	1	M			A la santé d'Adolphe!		1966		1960s	Gallimard		Série noire	policier	populaire						48079	fra	short	T0	unspecified	no
Malet_Fievre	Malet	Fievre	Malet_Fievre	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Fièvre au Marais	1955			1950s				policier	populaire						49752	fra	short	T0	unspecified	no
Attia_Paris	Attia	Paris	Attia_Paris	Attia, Maurice	https://www.wikidata.org/wiki/Q3300332	no	1	M	FRA		Paris blues		2009		2000s	Actes Sud		Babel noir	policier	populaire	978-2-7427-8757-9					117305	fra	long	T0	unspecified	no
Daeninckx_Chateau	Daeninckx	Chateau	Daeninckx_Chateau	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Un Château en Bohême	1994			1990s				policier	populaire						51692	fra	short	T0	unspecified	no
Pouy_Nus	Pouy	Nus	Pouy_Nus	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Nus	2007			2000s				policier	populaire						44592	fra	short	T0	unspecified	no
Manchette_Position	Manchette	Position	Manchette_Position	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		La Position du Tireur couché	1981			1980s				policier	populaire						43642	fra	short	T0	unspecified	no
Simenon_Confidence	Simenon	Confidence	Simenon_Confidence	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Une Confidence de Maigret	1959			1950s				policier	populaire						38630	fra	short	T0	unspecified	no
Cooper_Scene	Cooper	Scene	Cooper_Scene	Cooper, Clarence L. jr	https://www.wikidata.org/wiki/Q1095459	yes	1	M	USA		La scène		1962		1960s	Gallimard		Série noire	policier	populaire		Duhamel, Marcel				72067	fra	medium	T0	unspecified	no
Beeding_Diner	Beeding	Diner	Beeding_Diner	Beeding, Francis		yes	1	F	GBR		Un dîner d'anniversaire		1996		1990s	Rivages		Rivages/Mystère	policier	populaire	2-7436-0003-9	Vernay, Perrine		1932		53771	fra	medium	T0	unspecified	no
Vautrin_Bulletins	Vautrin	Bulletins	Vautrin_Bulletins	Vautrin, Jean		no	1	M	FRA		A bulletins rouge		1973		1970s	Gallimard		Série noire	policier	populaire						36759	fra	short	T0	unspecified	no
Manchette_Morgue	Manchette	Morgue	Manchette_Morgue	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		Morgue Pleine	1973			1970s				policier	populaire						54521	fra	medium	T0	unspecified	no
Duguel_Baby-sitter	Duguel	Baby-sitter	Duguel_Baby-sitter	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							31270	fra	short	T0	unspecified	no
Fajardie_Nuit	Fajardie	Nuit	Fajardie_Nuit	Fajardie, Frédéric H.	https://www.wikidata.org/wiki/Q2415497	no	1	M	FRA		La nuit des Chats bottés		1993		1990s	La Table Ronde		La petite vermillon	policier	populaire	2-7103-0552-6					31715	fra	short	T0	unspecified	no
Dard_Cochons	Dard	Cochons	Dard_Cochons	Dard, Frédéric		no	1	M	FRA		Les Cochons sont Lâchés (tango argentin)	1991			1990s				policier	populaire						68303	fra	medium	T0	unspecified	no
Rodgers_Assassin	Rodgers	Assassin	Rodgers_Assassin	Rodgers, M.J.		yes	1	F			L'assassin sans visage		1996		1990s	Harlequin		Suspense	policier	populaire	2-280-16670-4					60232	fra	medium	T0	unspecified	no
Daeninckx_Metropolice	Daeninckx	Metropolice	Daeninckx_Metropolice	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Métropolice	1985			1980s				policier	populaire						47228	fra	short	T0	unspecified	no
Vidal_Reaction	Vidal	Reaction	Vidal_Reaction	Vidal, Georges		no	1	M	FRA		Réaction de grâce		1963		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						40764	fra	short	T0	unspecified	no
Busino_Cafe	Busino	Cafe	Busino_Cafe	Busino, Jean-Jacques	https://www.wikidata.org/wiki/Q16028061	no	1	M	CHE		Un café, une cigarette		1994		1990s	Rivages		Rivages/Noir	policier	populaire	2-86930-721-7					33645	fra	short	T0	unspecified	no
Dessaint_Bouche	Dessaint	Bouche	Dessaint_Bouche	Dessaint, Pascal	https://www.wikidata.org/wiki/Q3367368	no	1	M	FRA		Bouche d'ombre		1996		1990s	Rivages		Rivages/Noir	policier	populaire	2-7436-0121-3					54103	fra	short	T0	unspecified	no
Simenon_Folle	Simenon	Folle	Simenon_Folle	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		La Folle de Maigret	1970			1970s				policier	populaire						41297	fra	short	T0	unspecified	no
Lafitte_Deserteur	Lafitte	Deserteur	Lafitte_Deserteur	Lafitte, Jean-Louis	https://www.wikidata.org/wiki/Q18636875	no	1	M			Le déserteur		1966		1960s	Gallimard		Série noire	policier	populaire						48429	fra	short	T0	unspecified	no
Ryck_Feu	Ryck	Feu	Ryck_Feu	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Feu Vert Poissons Rouges	1967			1960s				policier	populaire						49393	fra	short	T0	unspecified	no
BoileauNarcejac_Victimes	BoileauNarcejac	Victimes	BoileauNarcejac_Victimes	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Les Victimes	1964			1960s				policier	populaire						51161	fra	short	T0	unspecified	no
Daeninckx_Itineraire	Daeninckx	Itineraire	Daeninckx_Itineraire	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Itinéraire d'un salaud ordinaire	2006			2000s				policier	populaire						83642	fra	medium	T0	unspecified	no
Izzo_Solea	Izzo	Solea	Izzo_Solea	Izzo, Jean-Claude		no	1	M	FRA		Soléa	1998			1990s				policier	populaire						58150	fra	medium	T0	unspecified	no
Silverwood_Maison	Silverwood	Maison	Silverwood_Maison	Silverwood, Jane	https://www.wikidata.org/wiki/Q6688977	yes	1	F			La maison de l'angoisse		1996		1990s	Harlequin		Suspense	policier	populaire	2-280-16668-2					63975	fra	medium	T0	unspecified	no
Vargas_Peu	Vargas	Peu	Vargas_Peu	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		Un Peu Plus Loin sur la droite	1996			1990s				policier	populaire						73167	fra	medium	T0	unspecified	no
White_Joli	White	Joli	White_Joli	White. Lionel		yes	1	M			Tout ce joli monde		1962		1960s	Gallimard		Série noire	policier	populaire		Sollacaro, G.				47479	fra	short	T0	unspecified	no
Simenon_Assises	Simenon	Assises	Simenon_Assises	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret aux Assises	1959			1950s				policier	populaire						36175	fra	short	T0	unspecified	no
Ellroy_Dahlia	Ellroy	Dahlia	Ellroy_Dahlia	Ellroy, James	https://www.wikidata.org/wiki/Q318487	yes	1	M	USA		Le Dahlia noir		1990		1990s	Rivages		Rivages/Noir	policier	populaire	2-86930-391-2	Michalski, Freddy		1987		152512	fra	long	T0	unspecified	no
Siodmak_Memoire	Siodmak	Memoire	Siodmak_Memoire	Siodmak, Curt	https://www.wikidata.org/wiki/Q77489	yes	1	M			La mémoire du mort		1969		1960s	Gallimard		Série noire	policier	populaire		Bénat, André				53006	fra	medium	T0	unspecified	no
Autissier_Amant	Autissier	Amant	Autissier_Amant	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							59944	fra	medium	T0	unspecified	no
Japrisot_Ete	Japrisot	Ete	Japrisot_Ete	Japrisot, Sébastien	https://www.wikidata.org/wiki/Q162917	no	1	M	FRA		L'Été Meurtrier	1977			1970s				policier	populaire						131379	fra	long	T0	unspecified	no
Duguel_Lavinia	Duguel	Lavinia	Duguel_Lavinia	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							31564	fra	short	T0	unspecified	no
KnightA_Sinistre	KnightA	Sinistre	KnightA_Sinistre	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							57180	fra	medium	T0	unspecified	no
Manotti_Kop	Manotti	Kop	Manotti_Kop	Manotti, Dominique	https://www.wikidata.org/wiki/Q273277	no	1	F			Kop		2001		2000s	Rivages		Rivages/Noir	policier	populaire	2-7436-0749-1					52698	fra	medium	T0	unspecified	no
Malet_Micmac	Malet	Micmac	Malet_Micmac	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Micmac Moche au boul'mich'	1957			1950s				policier	populaire						46930	fra	short	T0	unspecified	no
Gerritsen_Mariee	Gerritsen	Mariee	Gerritsen_Mariee	Gerritsen, Tess	https://www.wikidata.org/wiki/Q6950	yes	1	F			La mariée était en blanc		1997		1990s	Harlequin		Suspense	policier	populaire	2-280-16692-5					57192	fra	medium	T0	unspecified	no
Magnan_Charbonniers	Magnan	Charbonniers	Magnan_Charbonniers	Magnan, Pierre		no	1	M	FRA		Le Charbonniers de la mort	1988			1980s				policier	populaire						100021	fra	long	T0	unspecified	no
Dard_Anges	Dard	Anges	Dard_Anges	Dard, Frédéric		no	1	M	FRA		Les Anges se font Plumer	1957			1950s				policier	populaire						37539	fra	short	T0	unspecified	no
Vargas_Jeux	Vargas	Jeux	Vargas_Jeux	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		Les jeux de l'amour et de la Mort	1986			1980s				policier	populaire						54238	fra	medium	T0	unspecified	no
PieyreDeMandiargues_Soleil	PieyreDeMandiargues	Soleil	PieyreDeMandiargues_Soleil	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							46457	fra	short	T0	unspecified	no
Paoli_Pigeons	Paoli	Pigeons	Paoli_Pigeons	Paolli, Paul		no	1	M			Les pigeons de Naples		1961		1960s	Gallimard		Série noire	policier	populaire						46658	fra	short	T0	unspecified	no
Japrisot_Compartiment	Japrisot	Compartiment	Japrisot_Compartiment	Japrisot, Sébastien	https://www.wikidata.org/wiki/Q162917	no	1	M	FRA		Compartiment Tueurs	1962			1960s				policier	populaire						58589	fra	medium	T0	unspecified	no
Renard_Mante	Renard	Mante	Renard_Mante	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							47551	fra	short	T0	unspecified	no
Daeninckx_Meurtres	Daeninckx	Meurtres	Daeninckx_Meurtres	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Meurtres pour mémoire	1984			1980s				policier	populaire						53120	fra	short	T0	unspecified	no
Daeninckx_Lumiere	Daeninckx	Lumiere	Daeninckx_Lumiere	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Lumière Noire	1987			1980s				policier	populaire						48289	fra	short	T0	unspecified	no
Vargas_Cercles	Vargas	Cercles	Vargas_Cercles	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		L'Homme aux Cercles Bleus	1996			1990s				policier	populaire						65948	fra	medium	T0	unspecified	no
Daeninckx_Nazis	Daeninckx	Nazis	Daeninckx_Nazis	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Nazis dans le Métro	1996			1990s				policier	populaire						38002	fra	short	T0	unspecified	no
Simenon_Echec	Simenon	Echec	Simenon_Echec	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Un Échec de Maigret	1956			1950s				policier	populaire						37183	fra	short	T0	unspecified	no
Malet_Brouillard	Malet	Brouillard	Malet_Brouillard	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Brouillard au pont de Tolbiac	1956			1950s				policier	populaire						48990	fra	short	T0	unspecified	no
Stirling_Meurtre	Stirling	Meurtre	Stirling_Meurtre	Stirling, Elaine K.		yes	1	F			Meurtre sous hypnose		1990		1990s	Harlequin		Suspense	policier	populaire	2-280-11083-0	Lamorlette, Marie-José				43271	fra	short	T0	unspecified	no
Malet_Bercail	Malet	Bercail	Malet_Bercail	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Nestor Burma revient au Bercail	1967			1960s				policier	populaire						54517	fra	medium	T0	unspecified	no
Pouy_Belle	Pouy	Belle	Pouy_Belle	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		La Belle de Fontenay	1992			1990s				policier	populaire						64844	fra	medium	T0	unspecified	no
Ross_A	Ross	A	Ross_A	Ross, Ivan T.	https://www.wikidata.org/wiki/Q16025199	yes	1	M			Par A plus B		1962		1960s	Gallimard		Série noire	policier	populaire		Rosenthal, Jean				64412	fra	medium	T0	unspecified	no
Arrighi_Deux	Arrighi	Deux	Arrighi_Deux	Arrighi, Mel		yes	1	M	USA		Lequel des deux?		1983		1980s	Gallimard		Série noire	policier	populaire	2-07-048937-X					51222	fra	short	T0	unspecified	no
Simenon_Maigret	Simenon	Maigret	Simenon_Maigret	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et le Voleur Paresseux	1961			1960s				policier	populaire						37329	fra	short	T0	unspecified	no
Poli_Perles	Poli	Perles	Poli_Perles	Poli, Francois	https://www.wikidata.org/wiki/Q18636879	no	1	M			Des perles aux requins		1964		1960s	Gallimard		Série noire	policier	populaire						32718	fra	short	T0	unspecified	no
WilliamsC_Femme	WilliamsC	Femme	WilliamsC_Femme	Williams, Charles		yes	1	M	GBR		Une femme là-dessous		1957		1950s	Gallimard		Série noire	policier	populaire		Bellac, André				58345	fra	medium	T0	unspecified	no
Ryck_Priere	Ryck	Priere	Ryck_Priere	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Prière de se pencher au-dehors		1978		1970s	Gallimard		Série noire	policier	populaire						64603	fra	medium	T0	unspecified	no
Pelot_Bonheur	Pelot	Bonheur	Pelot_Bonheur	Pelot, Pierre	https://www.wikidata.org/wiki/Q363478	no	1	M	FRA		Le Bonheur des Sardines	1993			1990s				policier	populaire						46352	fra	short	T0	unspecified	no
Lay_Feu	Lay	Feu	Lay_Feu	Lay, André	https://www.wikidata.org/wiki/Q19945126	no	1	M	FRA		Par le feu par le fer		1963		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						29900	fra	short	T0	unspecified	no
Garen_Piege	Garen	Piege	Garen_Piege	Garen, Jean-Pierre	https://www.wikidata.org/wiki/Q3169320	no	1	M	FRA		Piège pour la défense		1962		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						38300	fra	short	T0	unspecified	no
Vidal_Plein	Vidal	Plein	Vidal_Plein	Vidal, Georges		no	1	M	FRA		Plein tarif		1962		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						37097	fra	short	T0	unspecified	no
Malet_Corrida	Malet	Corrida	Malet_Corrida	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Corrida aux Champs-Élysées	1956			1950s				policier	populaire						48793	fra	short	T0	unspecified	no
BoileauNarcejac_Intouchables	BoileauNarcejac	Intouchables	BoileauNarcejac_Intouchables	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Les intouchables	1980	1980		1980s	Denoël		Sueurs froides	policier	populaire	2-07-037595-1					50623	fra	short	T0	unspecified	no
Malet_Casse	Malet	Casse	Malet_Casse	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Casse-Pipe à la Nation	1957			1950s				policier	populaire						58854	fra	medium	T0	unspecified	no
Mackenzie_Surexpose	Mackenzie	Surexpose	Mackenzie_Surexpose	Mackenzie, Donald		yes	1	M			Surexposé!		1963		1960s	Gallimard		Série noire	policier	populaire		Alpérine, Paul				53654	fra	medium	T0	unspecified	no
Poli_Sacco	Poli	Sacco	Poli_Sacco	Poli, François	https://www.wikidata.org/wiki/Q18636879	no	1	M			Sacco à la une		1963		1960s	Gallimard		Série noire	policier	populaire						38922	fra	short	T0	unspecified	no
BoileauNarcejac_Magiciennes	BoileauNarcejac	Magiciennes	BoileauNarcejac_Magiciennes	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Les Magiciennes	1957			1950s				policier	populaire						50662	fra	short	T0	unspecified	no
Amila_Nef	Amila	Nef	Amila_Nef	Amila, Jean		no	1	M	FRA		Nef Dingues	1972			1970s				policier	populaire						48225	fra	short	T0	unspecified	no
Squires_Fantôme	Squires	Fantôme	Squires_Fantôme	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							73496	fra	medium	T0	unspecified	no
Nathan_Dieu	Nathan	Dieu	Nathan_Dieu	Nathan, Tobie	https://www.wikidata.org/wiki/Q1523224	no	1	M			Dieu-Dope	1995	1997		1990s	Rivages		Rivages/Noir	policier	populaire	2-7436-0200-7					74261	fra	medium	T0	unspecified	no
Ryck_Secret	Ryck	Secret	Ryck_Secret	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Le secret		1973		1970s	Gallimard		Série noire	policier	populaire						50859	fra	medium	T0	unspecified	no
Dard_Plomb	Dard	Plomb	Dard_Plomb	Dard, Frédéric		no	1	M	FRA		Du Plomb dans les Tripes	1953			1950s				policier	populaire						44273	fra	short	T0	unspecified	no
Brett_Chabanais	Brett	Chabanais	Brett_Chabanais	Brett, Martin		yes	1	M	CAN		Chabanais chez les pachas		1963		1960s	Gallimard		Série noire	policier	populaire		Sollacaro, G.				61301	fra	medium	T0	unspecified	no
Trouillot_Belle	Trouillot	Belle	Trouillot_Belle	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							42367	fra	short	T0	unspecified	no
RossS_Amere	RossS	Amere	RossS_Amere	Ross, Sam		yes	1	M			Amère pilule		1969		1960s	Gallimard		Série noire	policier	populaire		Watkins, F.M.				44366	fra	short	T0	unspecified	no
Pouy_Roubignoles	Pouy	Roubignoles	Pouy_Roubignoles	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Les Roubignoles du Destin	2001			2000s				policier	populaire						27291	fra	short	T0	unspecified	no
Dard_Valsez	Dard	Valsez	Dard_Valsez	Dard, Frédéric		no	1	M	FRA		Valsez, Pouffiasses	1989			1980s				policier	populaire						64727	fra	medium	T0	unspecified	no
Chambers_Caramba	Chambers	Caramba	Chambers_Caramba	Chambers, Peter		yes	1	M	GBR		Caramba carambouille		1968		1960s	Gallimard		Série noire	policier	populaire		Watkins, F. M.				51250	fra	short	T0	unspecified	no
Malet_Gang	Malet	Gang	Malet_Gang	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Le Gang Mysterieux (suivi de Aux mains des réducteurs de têtes)	1952			1950s				policier	populaire						22387	fra	short	T0	unspecified	no
McBain_Cause	McBain	Cause	McBain_Cause	McBain, Ed	https://www.wikidata.org/wiki/Q369632	yes	1	M			Cause toujours, ma poupée!		1966		1960s	Gallimard		Série noire	policier	populaire		Fitzgerald, R.				44785	fra	short	T0	unspecified	no
Pappano_Cache	Pappano	Cache	Pappano_Cache	Pappano, Marylin		yes	1	F			Où se cache Christopher Morgan?		1989		1980s	Harlequin		Suspense	policier	populaire	2-280-16663-1	Charlès, Éveline				46269	fra	short	T0	unspecified	no
Guerin_Vue	Guerin	Vue	Guerin_Vue	Guérin, Francoise		no	1	F			À la vue, à la mort		2007		2000s	Le Masque		Romans d'aventures	policier	populaire	978-2-7024-3324-9					76153	fra	medium	T0	unspecified	no
Flynn_Mais	Flynn	Mais	Flynn_Mais	Flynn, J.M.		yes	1	M	USA		Mais ça t'empêchera de te noyer!		1962		1960s	Gallimard		Série noire	policier	populaire		Santez, Jean				44796	fra	short	T0	unspecified	no
Venisse_Deviation	Venisse	Deviation	Venisse_Deviation	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							37714	fra	short	T0	unspecified	no
Vidal_Terreur	Vidal	Terreur	Vidal_Terreur	Vidal, Georges		no	1	M	FRA		Terreur sur la personne		1964		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						43937	fra	short	T0	unspecified	no
Brett_Came	Brett	Came	Brett_Came	Brett, Martin		yes	1	M	CAN		La came à papa		1961		1960s	Gallimard		Série noire	policier	populaire		Bellac, André				55304	fra	medium	T0	unspecified	no
Siodmak_Cerveau	Siodmak	Cerveau	Siodmak_Cerveau	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							61548	fra	medium	T0	unspecified	no
Khadra_Part	Khadra	Part	Khadra_Part	Khadra, Yasmina	https://www.wikidata.org/wiki/Q313182	no	1	M	DZA		La Part Du Mort	2004			2000s				policier	populaire						118859	fra	long	T0	unspecified	no
AmosR_Guepe	AmosR	Guepe	AmosR_Guepe	Amos, Russel Booth		yes	1	M	GBR		Une guêpe dans la ruche	1961	1963		1960s	Gallimard		Série noire	policier	populaire		Wourgaft, C.				53672	fra	medium	T0	unspecified	no
Brown_Refuse	Brown	Refuse	Brown_Refuse	Brown, Ferderic		yes	1	M	USA		Ca ne se refuse pas		1963		1960s	Gallimard		Série noire	policier	populaire		Rosenthal, Jean				51174	fra	short	T0	unspecified	no
Busino_Dette	Busino	Dette	Busino_Dette	Busino, Jean-Jacques	https://www.wikidata.org/wiki/Q16028061	no	1	M	CHE		La dette du diable		1998		1990s	Rivages		Rivages/Noir	policier	populaire	2-7436-0410-7					37474	fra	short	T0	unspecified	no
Malet_Ile	Malet	Ile	Malet_Ile	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Nestor Burma dans l'île	1970			1970s				policier	populaire						35941	fra	short	T0	unspecified	no
Westlake_Couperet	Westlake	Couperet	Westlake_Couperet	Westlake, Donald	https://www.wikidata.org/wiki/Q538508	yes	1	M			Le couperet	1998	2000		1990s	Rivages		Rivages/Noir	policier	populaire	978-2-7436-0711-1	de Pracontal, Marc		1997		92214	fra	medium	T0	unspecified	no
Dard_Sirop	Dard	Sirop	Dard_Sirop	Dard, Frédéric		no	1	M	FRA		Du Sirop pour les Guêpes	1960			1960s				policier	populaire						42899	fra	short	T0	unspecified	no
Flynn_Crepuscule	Flynn	Crepuscule	Flynn_Crepuscule	Flynn, J.M.		yes	1	M	USA		Le crépuscule des margoulins		1962		1960s	Gallimard		Série noire	policier	populaire		Bénat, André				45181	fra	short	T0	unspecified	no
Dard_Tueur	Dard	Tueur	Dard_Tueur	Dard, Frédéric		no	1	M	FRA		Le Tueur Triste	1958			1950s				policier	populaire						33714	fra	short	T0	unspecified	no
Coburn_Peines	Coburn	Peines	Coburn_Peines	Coburn, Andrew		yes	1	M	USA		Toutes peines confondues		1992		1990s	Rivages		Rivages/Noir	policier	populaire	2-86930-544-3	Reynolds, Pierre		1985		98058	fra	medium	T0	unspecified	no
McBain_Dix	McBain	Dix	McBain_Dix	McBain, Ed	https://www.wikidata.org/wiki/Q369632	yes	1	M			Dix plus un		1964		1960s	Gallimard		Série noire	policier	populaire		Fitzgerald, R.				44640	fra	short	T0	unspecified	no
Daeninckx_Douze	Daeninckx	Douze	Daeninckx_Douze	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Douze Rue Meckert	2001			2000s				policier	populaire						56484	fra	medium	T0	unspecified	no
Venisse_Clown	Venisse	Clown	Venisse_Clown	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							35324	fra	short	T0	unspecified	no
Dard_Hommages	Dard	Hommages	Dard_Hommages	Dard, Frédéric		no	1	M	FRA		Mes Hommages à la Donzelle	1952			1950s				policier	populaire						36824	fra	short	T0	unspecified	no
BoileauNarcejac_Visages	BoileauNarcejac	Visages	BoileauNarcejac_Visages	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Les Visages de l'Ombre	1953			1950s				policier	populaire						50382	fra	short	T0	unspecified	no
Simenon_Indicateur	Simenon	Indicateur	Simenon_Indicateur	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et l'Indicateur	1971			1970s				policier	populaire						38772	fra	short	T0	unspecified	no
Palmer_Meurtre	Palmer	Meurtre	Palmer_Meurtre	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							48390	fra	short	T0	unspecified	no
Bialot_Salon	Bialot	Salon	Bialot_Salon	Bialot, Joseph	https://www.wikidata.org/wiki/Q3184606	no	1	M	FRA		Le salon du prêt-à-saigner		1978		1970s	Gallimard		Série noire	policier	populaire	2-07-043548-2					46434	fra	short	T0	unspecified	no
Bakker_Compte	Bakker	Compte	Bakker_Compte	Bakker, Kit		yes	1	M	USA		Compte à rebours		1985		1980s	Harlequin		Suspense	policier	populaire	2-280-11092-X					54248	fra	medium	T0	unspecified	no
BoileauNarcejac_Entre	BoileauNarcejac	Entre	BoileauNarcejac_Entre	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		D'Entre les Morts (Sueurs froides)	1954			1950s				policier	populaire						48875	fra	short	T0	unspecified	no
BoileauNarcejac_Poudriere	BoileauNarcejac	Poudriere	BoileauNarcejac_Poudriere	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		La Poudrière [Arsène Lupin]	1974	1987		1970s				policier	populaire						4447729973	fra	short	T0	unspecified	no
Ehrlich_Moment	Ehrlich	Moment	Ehrlich_Moment	Ehrlich, Jack	https://www.wikidata.org/wiki/Q16028099	yes	1	M	USA		Un moment de faiblesse		1961		1960s	Gallimard		Série noire	policier	populaire		Louedec, G.				46213	fra	short	T0	unspecified	no
Godey_Frappez	Godey	Frappez	Godey_Frappez	Godey, John	https://www.wikidata.org/wiki/Q1948742	yes	1	M			Frappez sans entrer		1961		1960s	Gallimard		Série noire	policier	populaire		Rosenthal, Jean				48797	fra	short	T0	unspecified	no
Dard_Accident	Dard	Accident	Dard_Accident	Dard, Frédéric		no	1	M	FRA		L'Accident	1961			1960s				policier	populaire						35575	fra	short	T0	unspecified	no
Daeninckx_Route	Daeninckx	Route	Daeninckx_Route	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		La Route du Rom	2003			2000s				policier	populaire						40248	fra	short	T0	unspecified	no
Siniac_Morfalous	Siniac	Morfalous	Siniac_Morfalous	Siniac, Pierre	https://www.wikidata.org/wiki/Q3387010	no	1	M			Les Morfalous		1968		1960s	Gallimard		Série noire	policier	populaire						32217	fra	short	T0	unspecified	no
Dard_Fais	Dard	Fais	Dard_Fais	Dard, Frédéric		no	1	M	FRA		Fais-Moi des choses	1978			1970s				policier	populaire						57400	fra	medium	T0	unspecified	no
Carrick_Rapace	Carrick	Rapace	Carrick_Rapace	Carrick, John		yes	1	M	GBR		Le rapace		1964		1960s	Gallimard		Série noire	policier	populaire		Peyran, Michel				47049	fra	short	T0	unspecified	no
